date,close,volume,open,high,low
6/12/15,110.6,4301814,110.89,111.59,110.415
6/11/15,111.29,3642764,111,112.33,111
6/10/15,110.98,3967821,109.9,111.19,109.39
6/9/15,109.53,3658009,109.79,110.25,109.03
6/8/15,109.93,3449460,110.14,110.81,109.83
6/5/15,110.37,4504835,111.34,111.36,110.27
6/4/15,111.46,4328286,112.52,113.16,111.1745
6/3/15,113.16,6337495,111.72,113.48,111.45
6/2/15,111.59,6088000,110.75,112.18,110.64
6/1/15,111.67,5114792,111.97,112.34,111.25
5/29/15,111.42,5308473,111.84,112.59,111.37
5/28/15,112.19,2805141,111.91,112.7,111.86
5/27/15,112.16,4147590,111.04,112.53,110.81
5/26/15,110.93,4609606,112,112.18,110.69
5/22/15,112.16,3693382,111.87,112.53,111.46
5/21/15,112.01,4237562,111.98,112.3299,111.62
5/20/15,112.1,7003181,112.19,112.89,111.22
5/19/15,112.34,11129240,116.12,116.48,112.34
5/18/15,114.33,6849372,113.87,114.6,113.16
5/15/15,113.35,4565344,111.92,113.4,111.82
5/14/15,111.94,3815483,112.05,112.22,110.83
5/13/15,111.19,4340551,112.92,112.95,111.1
5/12/15,112.52,4051081,111.12,112.82,110.83
5/11/15,111.9,3724195,112.24,112.91,111.81
5/8/15,112.47,6435206,112.4,113.4825,112.11
5/7/15,110.04,5399920,108.4,110.7199,108.25
5/6/15,108.31,3996633,108.2,108.91,107.2401
5/5/15,108.06,4164181,109.2,109.88,107.98
5/4/15,110.06,3366614,109.94,110.4497,109.32
5/1/15,109.55,6696297,106.98,109.79,106.85
4/30/15,106.98,9036894,108.56,109.21,106.62
4/29/15,108.71,7230859,110.17,110.31,108.07
4/28/15,110.58,5743170,110.9,111.77,110.05
4/27/15,111.39,5617188,114.05,114.11,111.28
4/24/15,113.7,2879114,113.88,114.04,112.9
4/23/15,113.96,3945180,112.74,114.51,112.56
4/22/15,112.99,4065277,113.2,113.31,112.19
4/21/15,113.17,3899593,113.5,113.98,112.5
4/20/15,112.86,4396662,113,113.69,112.68
4/17/15,112.1,6243558,112.91,113.11,111.7701
4/16/15,113.37,4012490,113.34,113.99,113.02
4/15/15,113.45,4210840,114.58,115.21,113.38
4/14/15,114.05,4072426,114.2,114.98,113.11
4/13/15,114.44,2981806,114.96,115.43,114.35
4/10/15,115.24,3658058,114.47,115.65,114.42
4/9/15,114.57,4673830,115.46,116.2446,114.14
4/8/15,115.59,3750565,113.97,115.81,113.83
4/7/15,114.3,3189099,114.83,115.79,114.23
4/6/15,114.95,3249993,113.45,115.55,113.41
4/2/15,114.54,4064897,112.61,114.92,112.52
4/1/15,113.13,4737287,113.88,114,112.43
3/31/15,113.61,4126894,113.7,115.37,113.55
3/30/15,114.63,3965423,114.96,116.05,114.53
3/27/15,113.86,3878710,112.08,114.23,112
3/26/15,112.37,5406583,113.36,113.43,111.58
3/25/15,113.68,4724133,115.96,116.61,113.64
3/24/15,116.15,4018886,116.2,117.83,116.04
3/23/15,116.07,4094326,117.04,117.75,116.07
3/20/15,117.49,8442616,115.55,117.99,115.33
3/19/15,115.16,3538400,116.21,116.43,115.07
3/18/15,116.08,4773212,115.41,116.42,113.3101
3/17/15,115.58,3715820,115.45,116.0799,115.14
3/16/15,116.5,4818109,115.33,116.61,115.32
3/13/15,114.82,4626684,115.99,116.31,114
3/12/15,116.1,5741665,113.85,116.46,113.77
3/11/15,113.07,4356487,112.68,113.8,112.41
3/10/15,112.56,5684508,113.85,114.34,112.56
3/9/15,115.25,5350753,114.38,115.48,114.37
3/6/15,114.45,5168453,115.96,115.96,114
3/5/15,115.91,4088931,115.23,116.098,115.06
3/4/15,114.76,3798585,115.39,115.47,114.25
3/3/15,116.07,3781749,116.11,116.12,114.8
3/2/15,116.12,5971673,114.86,117.06,114.86
2/27/15,114.75,5729326,115.19,115.67,114.555
2/26/15,115.38,5649527,116,116.42,115.2
2/25/15,116.31,7327196,117.35,117.35,115.85
2/24/15,116.75,12768260,117.5,117.92,115.13
2/23/15,112.28,5620773,112.99,113.16,111.8
2/20/15,112.24,7266499,110.81,112.25,110.05
2/19/15,110.94,5910566,112.01,112.447,110.635
2/18/15,111.99,3731011,111.6,112.17,111
2/17/15,112,6029620,111.69,112.225,110.62
2/13/15,111.89,5099168,112.01,112.39,111.3
2/12/15,112.16,4589899,110.81,112.2,110.21
2/11/15,110.31,4553751,110.6,110.798,109.81
2/10/15,110.67,5254372,108.79,110.85,108.66
2/9/15,108.34,3943688,108.88,109.46,108.04
2/6/15,109.04,4223512,109.28,109.74,108.46
2/5/15,108.99,4471776,108.98,109.34,108.15
2/4/15,108.41,6765342,107.09,109,106.75
2/3/15,107.24,5969710,104.89,107.32,104.81
2/2/15,104.43,5012100,104.78,105,101.57
1/30/15,104.42,6998219,106.36,106.86,104.38
1/29/15,107.62,6529239,105.14,107.74,104.51
1/28/15,104.74,4917293,105.31,107.43,104.6
1/27/15,105.16,4605380,104.78,105.8137,104.4
1/26/15,106.36,4191684,105.36,106.5,105.06
1/23/15,105.37,4075836,106.21,106.48,105.31
1/22/15,106.07,5801770,104.38,106.31,103.54
1/21/15,103.53,5899195,103.05,104.06,102.5
1/20/15,103.25,5335516,104.84,104.95,102.35
1/16/15,104.12,6403231,100.86,104.31,100.24
1/15/15,101.01,6894309,103.32,103.65,100.82
1/14/15,102.64,5384438,102.42,103.41,101.88
1/13/15,103.73,5394401,105.41,106.04,103.15
1/12/15,104.42,4992830,105.17,105.29,104.06
1/9/15,104.89,5717459,106.88,106.88,104.82
1/8/15,106.72,6467399,105.37,106.99,105.02
1/7/15,104.41,5089901,102.29,104.47,101.995
1/6/15,100.95,4912939,102.07,102.07,100.34
1/5/15,101.26,5878149,102.78,102.78,100.79
1/2/15,103.43,4324195,105.16,105.6548,102.67
12/31/14,104.97,5821181,104.75,106.02,104.56
12/30/14,104.27,2924470,104.44,104.74,103.85
12/29/14,104.53,3488956,103.58,104.8,103.261
12/26/14,103.75,2594775,103.98,104.3202,103.48
12/24/14,103.56,1819047,104.05,104.3792,103.56
12/23/14,103.76,4067319,103.66,104.2,103.32
12/22/14,103.5,5383382,102.25,103.57,102.23
12/19/14,101.93,12489180,100.92,102,100.81
12/18/14,100.67,6585262,100.34,100.69,99.3
12/17/14,98.94,6091737,97.59,99.14,97.09
12/16/14,97.06,7831414,99.38,100.232,96.99
12/15/14,100.05,5476127,100.01,101.24,99.29
12/12/14,99.78,5985138,99.69,101.25,99.39
12/11/14,100.27,6863672,99.28,101.4,99.15
12/10/14,98.94,5356939,99.36,100.23,98.82
12/9/14,99.64,5280581,99.69,99.98,98.5856
12/8/14,100.43,6624329,99.71,100.95,99.66
12/5/14,99.64,4648988,98.77,99.68,98.66
12/4/14,98.95,5223599,98.15,99.11,97.78
12/3/14,98.59,4358974,98.1,98.7399,98.04
12/2/14,98.16,4677554,98.62,99,97.99
12/1/14,98.88,4389479,99.49,99.61,98.31
11/28/14,99.4,3305799,98.06,99.8,98
11/26/14,97.7,4337943,97.06,97.71,97.01
11/25/14,97.01,7991894,98.64,98.87,96.41
11/24/14,98.4,4995047,98.68,98.9,98.22
11/21/14,98.28,6804741,98.98,99.1,97.82
11/20/14,97.57,4958379,96.08,97.97,96.02
11/19/14,96.7,6830660,96.55,97.31,96
11/18/14,95.98,10372680,97.15,97.71,93.5
11/17/14,98.03,8572357,98.17,98.945,97.8
11/14/14,98.24,4082079,98.9,99,98.02
11/13/14,99,3182748,98.9,99.36,98.34
11/12/14,98.49,4629148,98.3,98.7,97.61
11/11/14,98.14,3818401,98.46,98.75,97.88
11/10/14,98.16,3662160,97.64,98.17,97
11/7/14,97.65,3429460,97.17,97.75,96.6925
11/6/14,97.29,4015328,96.35,97.51,96.01
11/5/14,95.78,5002514,96.59,96.85,95.15
11/4/14,95.96,5347584,96.06,96.18,95.19
11/3/14,96.09,7613883,96.81,96.83,95.975
10/31/14,97.52,6335892,98.78,99.257,97.33
10/30/14,97.52,4106690,96.12,97.8,96.03
10/29/14,96.42,4275440,96.62,97.2537,95.8006
10/28/14,96.59,5257781,95.91,96.6,95.5
10/27/14,95.47,4465104,94.96,95.68,94.71
10/24/14,94.99,4825237,94.6,95.189,94.13
10/23/14,94.8,5830512,94.5,95.52,94.44
10/22/14,93.34,5908873,94.3,94.99,93.24
10/21/14,94.2,6604719,92.53,94.37,92.12
10/20/14,91.85,5609429,89.87,92.07,89.77
10/17/14,90.24,7007260,89.3,91.12,89.05
10/16/14,88.88,7147588,86.35,89.72,86.35
10/15/14,87.85,12987450,88.09,89.17,86.62
10/14/14,90.1,9711348,90.37,90.53,88.52
10/13/14,90.6,7372091,92.88,92.94,90.4313
10/10/14,92.55,6349811,93.23,93.86,92.54
10/9/14,93.07,6674674,93.91,94.79,93.02
10/8/14,94.09,6618942,92.57,94.16,92.24
10/7/14,92.47,5030302,93.04,93.56,92.44
10/6/14,93.26,4951721,93.72,94.25,93.06
10/3/14,93.54,6200083,92.52,93.68,92.335
10/2/14,92.24,5991202,91.31,92.46,91.07
10/1/14,91.02,5970668,92.14,92.34,90.92
9/30/14,91.74,6773028,93.03,93.21,91.4
9/29/14,92.88,3894623,92.37,93.17,91.95
9/26/14,92.84,4571390,92.29,93,91.8
9/25/14,91.9,4972066,92.8,93,91.55
9/24/14,93.02,6381357,91.68,93.11,91.3501
9/23/14,91.49,6329968,91.79,92.22,91.45
9/22/14,91.89,5208741,91.98,92.42,91.68
9/19/14,92.34,12498810,92.85,93.75,92.2
9/18/14,92.09,6023071,91.83,92.44,91.2
9/17/14,91.22,7068459,90.63,91.54,89.94
9/16/14,90.27,5045137,89.27,90.74,88.53
9/15/14,89.38,3934961,89.18,89.54,88.6
9/12/14,88.84,4593705,89.38,89.5,88.46
9/11/14,89.22,4537833,89.07,89.42,88.62
